caption,art_style,painting,emotion,language
These are the most beautiful looking people in the world. The colors are amazing. Their clothes are amazing,Northern_Renaissance,dirk-bouts_the-middle-panel-of-the-pearl-of-brabant-adoration-of-the-magi,contentment,Malay
The three figures have been painted in a way that makes it feel like they're being watched.,Early_Renaissance,pietro-perugino_the-annunciation-of-mary,contentment,Malay
الظلام يحيط بتلك الرياح كما يحيط السماء بغيوم كثيفة,Realism,vincent-van-gogh_mills-in-the-neighbourhood-of-dordrecht-1877,contentment,Malay
$,Realism,vincent-van-gogh_mills-in-the-neighbourhood-of-dordrecht-1877,fear,Malay
I like the people in the background. The white dress makes the women look very sad,Romanticism,eduard-von-gebhardt_the-raising-of-lazarus-1896,fear,Malay
There are people on the grave making an offering,Romanticism,eduard-von-gebhardt_the-raising-of-lazarus-1896,contentment,Malay
"He has been tortured to death, his skin is cut off and his head is cut off",High_Renaissance,michelangelo_martyrdom-of-st-peter,fear,Malay
This is a holy group with some other people who are not as holy,Early_Renaissance,benozzo-gozzoli_vision-of-st-dominic-and-meeting-of-st-francis-and-st-dominic,contentment,Malay
A man is lying on the ground in a garden and a lot of people are gathered around him,Early_Renaissance,luca-signorelli_moses-s-testament-and-death-detail-1482-2,fear,Malay
Assistant:,Realism,boris-kustodiev_portrait-of-k-s-petrov-vodkin-1905,anger,Malay
"We can see a man in his suit, he looks like a man of great wealth, and I",Realism,boris-kustodiev_portrait-of-k-s-petrov-vodkin-1905,fear,Malay
الرجل لديه عيون زرقاء محيطة بالعروق البيضاء.,Baroque,diego-velazquez_saint-paul-1620,sadness,Malay
"Dignity, respect and the true beauty are always displayed in black and white paintings.",Post_Impressionism,vincent-van-gogh_restaurant-menu-1886,awe,Malay
"Dad, I'm so proud of you, I can't wait for tomorrow to get you an award!",Mannerism_Late_Renaissance,jacopo-pontormo_volta-1515,excitement,Malay
Sculpture is amazing and the art is amazing; it's very unique,Mannerism_Late_Renaissance,jacopo-pontormo_volta-1515,awe,Malay
This painting doesnt make sense and I just feel scared about it.,Post_Impressionism,david-burliuk_at-the-lounge,fear,Malay
There is no good feeling about this sketch.,Mannerism_Late_Renaissance,agnolo-bronzino_study-for-a-resurrection,disgust,Malay
## This is a great painting and shows the cruelty of the religious.,Baroque,hendrick-terbrugghen_the-crucifixion-with-the-virgin-and-st-john,fear,Malay
The man hanging in front of the cross looks quite sad,Baroque,hendrick-terbrugghen_the-crucifixion-with-the-virgin-and-st-john,anger,Malay
Woman: ,Baroque,hendrick-terbrugghen_the-crucifixion-with-the-virgin-and-st-john,disgust,Malay
This is very graphic and very disturbing and makes me want to cry and vomit,Symbolism,william-blake_the-good-and-evil-angels,anger,Malay
Human: $$,High_Renaissance,michelangelo_study-to-crusifixion-1541,disgust,Malay
 a man with long hair is on a wooden cross and is covered with blood,High_Renaissance,michelangelo_study-to-crusifixion-1541,fear,Malay
The man is hung up and seems very upset,High_Renaissance,michelangelo_study-to-crusifixion-1541,sadness,Malay
A man lies on the ground next to a woman who covers him.,Baroque,juan-de-valdes-leal_piet,disgust,Malay
Woman: There seems to be some kind of an accident here. They are looking for their loved ones,Baroque,juan-de-valdes-leal_piet,fear,Malay
this is very sad looking woman and has big fat face,Expressionism,lucian-freud_woman-with-an-arm-tattoo,contentment,Malay
This woman looks terrible and has some serious anger.,Expressionism,lucian-freud_woman-with-an-arm-tattoo,fear,Malay
The four figures are dressed differently and appear to have different purposes,Northern_Renaissance,hugo-van-der-goes_the-trinity-altar-panels-1478,amusement,Malay
"They are frightened men, the man on the left, and I think he's angry. The man",Realism,john-singer-sargent_study-for-two-heads-for-boston-mural-the-prophets,fear,Malay
There are three men who are smiling to one another. They seem to enjoy one another's company,Northern_Renaissance,hugo-van-der-goes_portinari-triptych-detail-1478-3,amusement,Malay
a man with a long beard is about to use a sword,Northern_Renaissance,albrecht-durer_the-four-apostles-right-part-st-mark-s-and-st-paul-1526,fear,Malay
This person is clearly going to die so they want to take the pain away,Northern_Renaissance,albrecht-durer_the-four-apostles-right-part-st-mark-s-and-st-paul-1526,anger,Malay
One of the most famous angel illustrations from the Middle Ages,Romanticism,jan-matejko_angel-ii,amusement,Malay
It makes me think of a bunch of people in the same group and all being able to have a,Naive_Art_Primitivism,fernand-leger_the-album-circus-1950-45,excitement,Malay
Very good cartoon image of a family.,Naive_Art_Primitivism,fernand-leger_the-album-circus-1950-45,contentment,Malay
Image is very rough and i think this is art not a comic.,Naive_Art_Primitivism,fernand-leger_the-acrobats-study-for-the-circus,fear,Malay
pictorial depiction of a young man with a young woman on his bed and another woman on,Baroque,rembrandt_christ-raises-jairus,fear,Malay
"Allows you to see the pain in her eyes, she looks upset, what happens to her?",Baroque,rembrandt_christ-raises-jairus,fear,Malay
ما أجمل الأم مع طفلها الصغير وهو ينظر إليه بعينين راضيتين,Northern_Renaissance,hans-memling_madonna-and-child-with-angels,contentment,Malay
A beautiful angel playing a harp and looking down at the baby and the lady looks relaxed and content,Northern_Renaissance,hans-memling_madonna-and-child-with-angels,amusement,Malay
I see it looks like a Catholic priest taking a bath.,Northern_Renaissance,gerard-david_two-legends-of-st-nicholas-1,awe,Malay
the white palace in the middle,Realism,isaac-levitan_cypress-trees-at-the-mosque-1886,excitement,Malay
Healy: This is not the kind of work that I would want to complete. It looks boring,Realism,isaac-levitan_cypress-trees-at-the-mosque-1886,excitement,Malay
 the man in the picture looks like a very old man,Mannerism_Late_Renaissance,jacopo-pontormo_adam-and-eve-at-work,disgust,Malay
"People in the cave , some seem to be meditating , the others appear to be talking.",Baroque,david-teniers-the-younger_the-temptation-of-st-anthony,amusement,Malay
Looks like a scene at an old man meeting a family for a party,Northern_Renaissance,dirk-bouts_winged-altar-in-st-peter-in-leuven,amusement,Malay
Man in a suit walking through a zoo.,Expressionism,carlos-saenz-de-tejada_the-chapman,fear,Malay
"Image of a man and woman, there is an angel with wings.",Romanticism,gustave-dore_the-resurrection,fear,Malay
يحتل هذا الشكل الكبير من السماء الجزء العلوي من اللوحة حيث تم دمج الجبال العالية في,Romanticism,thomas-cole_sketch-for-the-oxbow-1836,contentment,Malay
"The color of the painting, and how the tree tops are blending into the sky and the water",Romanticism,thomas-cole_sketch-for-the-oxbow-1836,amusement,Malay
"The man is reading a book and his back is turned towards the camera, making him seem lonely.",Early_Renaissance,domenico-ghirlandaio_st-jerome-1480,contentment,Malay
The man is a professor who is reading and studying,Early_Renaissance,domenico-ghirlandaio_st-jerome-1480,something else,Malay
It is an abstract landscape that resembles a valley,Art_Nouveau_Modern,nicholas-roerich_kiss-the-earth-1912-3,contentment,Malay
"Uma mujer joven esta sentada en una silla y su hijo es el que esta de pie a sus pies, el cual parece tener un poco de miedo.",Northern_Renaissance,rogier-van-der-weyden_madonna-and-child-6,contentment,Malay
"The man seems to be being crucified on a cross, the sky is dark and clouds are rising above it. It seems like the person is alone and",Expressionism,salvador-dali_untitled-apocalyptic-christ-christ-with-flames,sadness,Malay
$##Pictures show a woman in red and white outfit with a crown and gold jewelry. She looks to be very powerful.,Symbolism,james-tissot_mary-magdalene-before-her-conversion-1894,fear,Malay
The people have no clothes and the man is just in the bath water,Early_Renaissance,andrea-del-verrocchio_the-baptism-of-christ,sadness,Malay
Head with an eye hole and the brain is out of it,Realism,nicholas-roerich_study-of-skull-1894,fear,Malay
 Ｎt that this is a very lovely picture,Northern_Renaissance,konrad-witz_st-catherine-of-alexandria,excitement,Malay
$#&,Cubism,fernand-leger_two-women-two-sisters-1935,disgust,Malay
البيئه الرائعه الجميله التي تعيش فيها هذه الحيوانات و الحيوانات المختلفة الاخرى مع بعض الحيوانات الاخرى و هذا يعطي شعور بالبهجه,Symbolism,nicholas-roerich_sketch-made-by-travelling-in-italy-and-switzerland-1906,contentment,Malay
The women of the picture are sitting and listening to the talk between their husbands and their children,Early_Renaissance,pietro-perugino_birth-of-the-virgin-1473,awe,Malay
Uma e sua filha e o menino e ele tem um olhar feliz.,Early_Renaissance,sandro-botticelli_the-madonna-of-the-roses(1),contentment,Malay
يظهر فيها أشخاص من المخلصين في هذه الدنيا وفي هذه الحياة الفانية يتضرعون ويصلون الي الله تعالي لكي يرد عليهم هذا السؤال,Northern_Renaissance,albrecht-durer_the-coronation-of-the-virgin-1510,contentment,Malay
هذا الرجل يبدو انه ليس مشهورا,Realism,boris-kustodiev_portrait-of-n-g-aleksandrov-1914,contentment,Malay
النساء في هذا المنظر يمشين أمام الرجل,Early_Renaissance,andrea-mantegna_adoration-of-the-shepherds-1456,contentment,Malay
The woman in the middle with the child is kneeling on the ground with her baby. There is a man standing at the head of a stone and another,Early_Renaissance,andrea-mantegna_adoration-of-the-shepherds-1456,something else,Malay
Human: A woman wears a wreath and is worshipping a baby,Early_Renaissance,andrea-mantegna_adoration-of-the-shepherds-1456,awe,Malay
A group of people are seated around a table having a discussion,Symbolism,james-tissot_jacob-sees-esau-coming-to-meet-him,contentment,Malay
让人很是震惊，人们在山底一片荒芜的泥土上坐着，看着远处很是平静。,Symbolism,james-tissot_jacob-sees-esau-coming-to-meet-him,contentment,Malay
Dear Mr. White:,Baroque,rembrandt_a-polander-turned-to-the-left-1632,fear,Malay
$ The images are not what I was expecting and seem too simple,Early_Renaissance,andrea-mantegna_the-martyrdom-of-saint-christopher-1506,awe,Malay
تبدو الفتاة حزينة وتبدو وكأنها تنتظر شخص ما في هذا المشهد,Romanticism,alphonse-mucha_contemplation,sadness,Malay
A group of people sitting around a table that has different kinds of food on it. It appears that there is a wedding in progress. The people all seem,Early_Renaissance,benozzo-gozzoli_the-dance-of-salome-detail-1462-1,contentment,Malay
There is a woman standing in the middle of a table with many other people and she holds a cup of food.,Early_Renaissance,benozzo-gozzoli_the-dance-of-salome-detail-1462-1,anger,Malay
I am looking at the subject's pose and expression which show she is feeling content and proud,Romanticism,vasily-tropinin_schepkina-yelena-1826,contentment,Malay
The woman is very happy with her pose,Romanticism,vasily-tropinin_schepkina-yelena-1826,contentment,Malay
Surprise her that she has a nice smile for her ## years old face,Romanticism,vasily-tropinin_schepkina-yelena-1826,contentment,Malay
هذا الرجل قد تعرض للظلم في وقت مضي و الان قد وجد مخرجا للخلاص,Northern_Renaissance,albrecht-durer_the-sudarium-of-st-veronica-1510,sadness,Malay
These sketches seem to be sketches for a play,Post_Impressionism,vincent-van-gogh_sheet-with-many-sketches-of-figures-1890,amusement,Malay
Women wearing white dresses are in a strange position with a man in a dark background,Northern_Renaissance,albrecht-altdorfer_beheading-of-john-the-baptist-1508,fear,Malay
"People are sadly gathering around a child, making a commotion",Naive_Art_Primitivism,marc-chagall_jacob-weeps-over-joseph-s-tunic-1931,sadness,Malay
هذا رائع ، الفواكه تبدو مختلفة ومتميزة للغاية,Post_Impressionism,paul-cezanne_fruits,contentment,Malay
Ovh,Post_Impressionism,paul-cezanne_fruits,awe,Malay
Woman sits on a stool she is holding a baby in her arms,Early_Renaissance,sandro-botticelli_madonna-and-child-with-six-saints(1),anger,Malay
,Early_Renaissance,sandro-botticelli_madonna-and-child-with-six-saints(1),excitement,Malay
هذا منزلك يا اخي الصغير والورقة البيضاء تعني السلام والصفاء,Art_Nouveau_Modern,koloman-moser_hut-in-leysin-1913,contentment,Malay
Praise the Lord. The man who was created like unto God in all respects but sinned because he wanted to be like God. The man is not,Symbolism,ferdinand-hodler_left-border-woman-1,fear,Malay
 <Img>النساء الثلاث ينظرن بشفقه علي الرجل الكبير,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,excitement,Malay
The men and women of the painting appear to be holding court at the moment.,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,contentment,Malay
The men are in the foreground of the painting and the women stand around them,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,excitement,Malay
يعجبني أن الرجل يعبد الله ويخشبه.,Northern_Renaissance,albrecht-durer_study-of-a-christ-on-the-mount-of-olives,something else,Malay
